Date,Stations,Min_Temp
12-05-1970,Barisal,28.6
12-06-1970,Barisal,24.6
12-03-1970,Bhola,17.5
12-04-1970,Bhola,24.6
12-05-1970,Bhola,26.7
12-06-1970,Bhola,25.6
12-03-1970,Bogra,17.9
12-04-1970,Bogra,23.9
12-05-1970,Bogra,27.9
12-06-1970,Bogra,26
12-03-1970,Dinajpur,18.4
12-04-1970,Dinajpur,23.4
12-05-1970,Dinajpur,27.8
12-06-1970,Dinajpur,26.2
12-03-1970,Ishurdi,****
12-04-1970,Ishurdi,23
12-05-1970,Ishurdi,28.3
12-06-1970,Ishurdi,26.2
12-03-1970,Jessore,18.3
12-04-1970,Jessore,24.3
12-05-1970,Jessore,28.3
12-06-1970,Jessore,26.4
12-03-1970,Khulna,22.8
12-04-1970,Khulna,26.7
12-05-1970,Khulna,28.3
12-06-1970,Khulna,26.1
12-03-1970,Rajshahi,****
12-04-1970,Rajshahi,****
12-05-1970,Rajshahi,****
12-06-1970,Rajshahi,****
12-03-1970,Rangpur,15.3
12-04-1970,Rangpur,18.1
12-05-1970,Rangpur,23.2
12-06-1970,Rangpur,24.2
12-03-1970,Satkhira,18.3
12-04-1970,Satkhira,23.9
12-05-1970,Satkhira,25.6
12-06-1970,Satkhira,25
12-03-1970,Srimangal,16.1
12-04-1970,Srimangal,17.8
12-05-1970,Srimangal,26.6
12-06-1970,Srimangal,25
12-03-1970,Sylhet,16.7
12-04-1970,Sylhet,20
12-05-1970,Sylhet,21.1
12-06-1970,Sylhet,25.6
13-03-1970,Barisal,22.6
13-04-1970,Barisal,23.3
13-05-1970,Barisal,28.6
13-06-1970,Barisal,27.3
13-03-1970,Bhola,18.6
13-04-1970,Bhola,23.9
13-05-1970,Bhola,25.6
13-06-1970,Bhola,25.4
13-03-1970,Bogra,17.8
13-04-1970,Bogra,****
13-05-1970,Bogra,28.9
13-06-1970,Bogra,27.4
13-03-1970,Dinajpur,16.8
13-04-1970,Dinajpur,23.4
13-05-1970,Dinajpur,28.4
13-06-1970,Dinajpur,28.2
13-03-1970,Ishurdi,16.1
13-04-1970,Ishurdi,25.1
13-05-1970,Ishurdi,28.4
13-06-1970,Ishurdi,27.3
13-03-1970,Jessore,22
13-04-1970,Jessore,24.4
13-05-1970,Jessore,28.1
13-06-1970,Jessore,27
13-03-1970,Khulna,23.9
13-04-1970,Khulna,25.2
13-05-1970,Khulna,29
13-06-1970,Khulna,27.8
13-03-1970,Rajshahi,****
13-04-1970,Rajshahi,****
13-05-1970,Rajshahi,****
13-06-1970,Rajshahi,****
13-03-1970,Rangpur,15.2
13-04-1970,Rangpur,18.4
13-05-1970,Rangpur,22.8
13-06-1970,Rangpur,24.5
13-03-1970,Satkhira,20
13-04-1970,Satkhira,24.4
13-05-1970,Satkhira,26.1
13-06-1970,Satkhira,25
13-03-1970,Srimangal,22.2
13-04-1970,Srimangal,18.3
13-05-1970,Srimangal,25.6
13-06-1970,Srimangal,25.6
13-03-1970,Sylhet,20
13-04-1970,Sylhet,20
13-05-1970,Sylhet,21.1
13-06-1970,Sylhet,26
14-03-1970,Barisal,23.6
14-04-1970,Barisal,22.2
14-05-1970,Barisal,29.4
14-06-1970,Barisal,26.1
14-03-1970,Bhola,18.7
14-04-1970,Bhola,23.3
14-05-1970,Bhola,26.4
14-06-1970,Bhola,25.2
14-03-1970,Bogra,18.2
14-04-1970,Bogra,21.6
14-05-1970,Bogra,28.2
14-06-1970,Bogra,****
14-03-1970,Dinajpur,17.3
14-04-1970,Dinajpur,20.1
14-05-1970,Dinajpur,26.2
14-06-1970,Dinajpur,28.3
14-03-1970,Ishurdi,17.8
14-04-1970,Ishurdi,20.5
14-05-1970,Ishurdi,29.6
14-06-1970,Ishurdi,27.7
14-03-1970,Jessore,22.1
14-04-1970,Jessore,23.6
14-05-1970,Jessore,30.1
14-06-1970,Jessore,27.2
14-03-1970,Khulna,22.8
14-04-1970,Khulna,23.8
14-05-1970,Khulna,29.6
14-06-1970,Khulna,28.8
14-03-1970,Rajshahi,****
14-04-1970,Rajshahi,****
14-05-1970,Rajshahi,****
14-06-1970,Rajshahi,****
14-03-1970,Rangpur,15.1
14-04-1970,Rangpur,18.6
14-05-1970,Rangpur,22.2
14-06-1970,Rangpur,24.4
14-03-1970,Satkhira,23.4
14-04-1970,Satkhira,24.4
14-05-1970,Satkhira,26.1
14-06-1970,Satkhira,25
14-03-1970,Srimangal,19.4
14-04-1970,Srimangal,21.1
14-05-1970,Srimangal,26.6
14-06-1970,Srimangal,26.1
14-03-1970,Sylhet,19.4
14-04-1970,Sylhet,21.7
14-05-1970,Sylhet,25
14-06-1970,Sylhet,26.7
15-03-1970,Barisal,23.9
15-04-1970,Barisal,25
15-05-1970,Barisal,29
15-06-1970,Barisal,25.9
15-03-1970,Bhola,18.4
15-04-1970,Bhola,10.6
15-05-1970,Bhola,26.7
15-06-1970,Bhola,24.4
15-03-1970,Bogra,18.6
15-04-1970,Bogra,23.6
15-05-1970,Bogra,29.1
15-06-1970,Bogra,27.2
15-03-1970,Dinajpur,18.4
15-04-1970,Dinajpur,23.4
15-05-1970,Dinajpur,25.1
15-06-1970,Dinajpur,27.3
15-03-1970,Ishurdi,17.8
15-04-1970,Ishurdi,25.4
15-05-1970,Ishurdi,29
15-06-1970,Ishurdi,26.7
15-03-1970,Jessore,21.7
15-04-1970,Jessore,22.3
15-05-1970,Jessore,27.4
15-06-1970,Jessore,26.7
15-03-1970,Khulna,24.1
15-04-1970,Khulna,25.9
15-05-1970,Khulna,29.4
15-06-1970,Khulna,27.4
15-03-1970,Rajshahi,****
15-04-1970,Rajshahi,****
15-05-1970,Rajshahi,****
15-06-1970,Rajshahi,****
15-03-1970,Rangpur,16.5
15-04-1970,Rangpur,18.4
15-05-1970,Rangpur,21.6
15-06-1970,Rangpur,24.1
15-03-1970,Satkhira,23.6
15-04-1970,Satkhira,24.4
15-05-1970,Satkhira,25.6
15-06-1970,Satkhira,25
15-03-1970,Srimangal,22.1
15-04-1970,Srimangal,21.7
15-05-1970,Srimangal,26.1
15-06-1970,Srimangal,25
15-03-1970,Sylhet,20.6
15-04-1970,Sylhet,21.7
15-05-1970,Sylhet,22.8
15-06-1970,Sylhet,25
16-03-1970,Barisal,22.5
16-04-1970,Barisal,26.7
16-05-1970,Barisal,28.9
16-06-1970,Barisal,25.3
16-03-1970,Bhola,17.7
16-04-1970,Bhola,23.9
16-05-1970,Bhola,29.4
16-06-1970,Bhola,24.1
16-03-1970,Bogra,19.1
16-04-1970,Bogra,23.8
16-05-1970,Bogra,27.1
16-06-1970,Bogra,25
16-03-1970,Dinajpur,19
16-04-1970,Dinajpur,21.7
16-05-1970,Dinajpur,24.5
16-06-1970,Dinajpur,26.2
16-03-1970,Ishurdi,17.6
16-04-1970,Ishurdi,24.8
16-05-1970,Ishurdi,26.6
16-06-1970,Ishurdi,26.2
16-03-1970,Jessore,20.2
16-04-1970,Jessore,26.8
16-05-1970,Jessore,23.9
16-06-1970,Jessore,26.1
16-03-1970,Khulna,23.4
16-04-1970,Khulna,27
16-05-1970,Khulna,29.3
16-06-1970,Khulna,****
16-03-1970,Rajshahi,****
16-04-1970,Rajshahi,****
