Temp_Max,tmin,rh,rain,sunshine,windsp
28.6,13.9,67,0,10.7,5
28.5,14.4,65,0,10.8,5
30.9,15.3,60,0,10.4,5
27.3,18.3,55,0,9.4,5
25.6,12.8,62,0,9.5,2
25.1,11.1,67,0,10.2,2
26.2,11.7,73,0,10.1,2
26.1,13.3,70,0,9.5,2
26.8,13.6,72,0,10.1,0
27.4,13.3,71,0,10.4,0
27.6,13.6,70,0,9.7,0
28.3,14.4,71,0,9,2
27.8,17.9,68,0,9.9,0
24.8,13.3,63,0,10.3,2
24.9,10.6,66,0,9,6.3
24.9,9,65,0,10.6,7.3
24.7,10.6,67,0,8.6,6.3
24.3,10.6,70,0,9.5,2
24.9,11.6,70,0,9.2,5
25.3,11.8,75,0,9.2,5
27.2,12.9,70,0,9.7,5
26.7,12.8,69,0,9.4,5
28.1,14.2,73,0,10.4,0
29.5,14.4,66,0,9.9,0
28.9,14.2,68,0,9.6,0
26.9,15.1,67,0,9.8,0
26.9,12.3,75,0,9.3,0
26.1,12.3,72,0,9.8,0
26.1,11.8,75,0,9.4,0
26.9,12.8,74,0,9.6,0
27.5,13.7,76,0,10,0
28.9,14.1,77,0,9.6,0
27.2,14.4,78,0,9.7,0
26,15,79,0,9.4,0
26.1,15.7,78,0,7.1,0
23.3,11.8,73,0,7.1,0
23.9,10,60,0,9.6,0
24.4,10.3,67,0,9.1,0
24.7,10.7,68,0,9,0
24.4,10.8,70,0,9.7,0
24.7,11.2,70,0,9.4,0
25,12.7,77,0,9,0
24.4,12.3,74,0,8.6,0
25.7,13.7,72,0,9.5,0
25,13,68,0,8.9,4
27.8,17.2,87,0,9.7,0
27.7,18.2,84,0,7.4,2
33.7,25.5,80,1,10.2,1
31.4,22.8,96,0,8.8,2
31.8,20.5,78,0,9.5,2
32.3,25.7,86,0,5.8,2.5
28.9,23.6,89,31,0,2
30.4,25.2,88,4,2.8,4.2
31.5,25.8,89,21,5.9,3.8
31.4,24.1,83,12,10.9,4.3
30.6,25.4,88,0,5,2.2
31.6,24.4,77,1,10.8,2.3
31.1,23.9,76,0,11.4,5
31.3,23.9,76,0,11.5,2
31.1,23.3,75,0,11.8,0
31.6,24,78,0,11.6,3.5
31.1,24.4,75,0,11.7,5.5
31.1,23.9,76,0,11.6,3.5
30.4,24.6,78,0,2.5,6
22.2,19.9,95,4,0,5
26.9,20.2,88,18,3.4,4
29.3,22.7,84,0,7.1,0
29.9,23.4,87,0,9.6,2
30,23.2,80,0,6.2,3.3
30,21.1,81,1,7.4,4
29.7,22.2,81,0,11.2,3
30.5,21,77,0,11.4,2
28.9,21.1,87,0,7.8,2.5
29.5,22.8,86,0,7.2,3.7
29.8,20.8,83,0,11.2,3.5
28.9,20,77,0,11.4,2
29.1,21.1,80,0,10.7,3
29.5,20.1,79,0,9.2,2
28.3,21.6,89,0,0.7,2
21.8,21,94,11,0,2
23.3,19.3,95,6,0,0
27.6,19.9,90,1,2.8,2
28.2,15.6,86,0,6.8,2
28.8,19.6,78,0,11.1,2
28.2,17.8,81,0,9.4,5
28.1,17.7,78,0,10.8,2.5
28.1,16.5,73,0,11.1,7.5
27.5,16.4,75,0,11,2
27.2,15.8,79,0,10.8,3
26.9,16.2,74,0,10.5,2
26.5,15.7,75,0,9.9,2
25.9,15.9,74,0,10.5,5
28.3,15.4,73,0,9.5,3.8
29.5,18.7,85,0,10.1,3
22.4,16.7,90,42,5.8,2
24,13.9,87,0,9.5,3
23.9,13.9,81,0,10.4,3
25.2,15,79,0,10.7,5
24.9,14.6,81,0,10.5,6
24.7,13.8,80,0,10.2,3.5
25.3,13.3,79,0,9.3,3.3
25.3,12.9,79,0,10,3
24.5,13.6,78,0,10.5,3
23.7,12.6,73,0,10.3,4
23.6,13.1,65,0,10.8,2
24,12.8,77,0,10.4,0
24.6,12.7,82,0,10.5,2
23.7,12.6,80,0,10.4,3
24.4,12.1,73,0,10,5
24,13.3,75,0,10.9,3
24.4,12.8,76,0,10.3,2
25.1,12.4,78,0,10.6,5
25.2,12.9,77,0,9.3,2
24.5,14.3,76,0,8.1,2
24.5,13.3,76,0,10.2,2
24.7,12.8,75,0,8.7,2
25.1,15.5,79,0,8.7,2
31.2,17,78,0,7.2,6
33.2,25.4,85,1,5,0
27.8,19,86,0,9.7,0
27.5,14,79,0,9,0
24.8,15,77,1,3.7,0
33.9,24.3,78,0,10.7,2
34.2,25,81,0,10.5,2
33.6,24.7,83,0,8.1,3
33.1,23.9,82,0,11.2,2
32.3,24.2,85,0,8.6,0
33.8,24.5,84,0,9.6,2
31.7,22.8,86,18,7.5,2
28.7,24.5,95,0,1.2,4
31.6,22.8,84,15,10.6,2
32.2,23.8,83,0,8.9,1.5
33.1,24.4,82,0,2.6,2
32.2,23.8,83,0,10.1,2
29.2,24.8,88,0,5,2
29.4,25.4,91,11,2.4,2
27.2,22.8,92,142,7.1,1
28.8,22.9,93,24,6.5,2.7
26.2,22.1,95,23,1.1,4.7
26.9,21.7,90,22,2.5,5
29.4,21.9,86,0,7.6,2
31,22.5,85,0,8.6,2
31.1,22.7,85,0,10.6,2
30.7,21.9,84,0,4.2,2.5
31.1,18.6,72,0,11.3,1
29.2,16.4,72,0,10.7,2
30,20.1,73,0,10.2,0
30,19.1,82,0,10.6,2
30.8,14.8,77,0,10.4,2
29.7,19.9,79,0,8.3,1
29.7,21.2,78,0,11.3,2
29.4,20.6,77,0,6.9,3
31.1,19.2,76,0,10.6,4
30.6,19.3,71,0,10.2,2
28.9,18.8,81,0,3.7,2
29.2,21.2,83,0,4.3,2
29.7,20.6,79,0,9,2
30.2,18.6,75,0,10.5,2
30.4,18.7,79,0,9.8,2
31.1,17.6,67,0,10.5,1
30.3,17.8,72,0,4.3,0
25.8,19.6,79,0,1.3,2
22.8,21.2,86,1,0,1
24.9,20.1,89,7,4,2
26.1,19.3,80,0,7.9,2
33,25,82,0,8.7,2
23.3,12.6,76,0,8.9,2.5
24.8,11.1,75,0,9.4,2
25,10.2,75,0,9.5,4
24.1,12.2,79,0,8.5,2
23.9,12,80,0,8.1,1.5
25.6,12.9,74,0,9.7,0
24.2,12.3,77,0,9.6,2
25.7,13,75,0,9.6,1.3
25.6,14.5,78,0,7.8,1.2
26,13.4,72,0,9.2,1
25.7,11.5,68,0,9.8,2.5
25.6,11.2,73,0,8.9,2
25.6,12.2,73,0,10.1,2
25.2,10.9,72,0,10,2
26.1,12.5,71,0,10.2,1.8
25.2,12.3,73,0,10.5,2
25.1,11.4,73,0,10.2,0
25.6,11.7,71,0,10.2,1
26.1,12.6,70,0,10.2,2
25.7,11.1,76,0,9.8,1.5
25.1,12.8,77,0,9.6,2
25.3,12.8,75,0,9.6,1
27,14,69,0,8.6,0
