Date,Stations,Min_Temp
08-07-1970,Khulna,****
08-08-1970,Khulna,25.2
08-09-1970,Khulna,26.9
08-10-1970,Khulna,25
08-11-1970,Khulna,****
08-06-1970,Rajshahi,****
08-07-1970,Rajshahi,****
08-08-1970,Rajshahi,****
08-09-1970,Rajshahi,****
08-10-1970,Rajshahi,****
08-11-1970,Rajshahi,****
08-06-1970,Rangpur,23.4
08-07-1970,Rangpur,24.7
08-08-1970,Rangpur,23.9
08-09-1970,Rangpur,26.2
08-10-1970,Rangpur,22.2
08-11-1970,Rangpur,19.9
08-06-1970,Satkhira,25
08-07-1970,Satkhira,25
08-08-1970,Satkhira,25.6
08-09-1970,Satkhira,24.7
08-10-1970,Satkhira,24.4
08-11-1970,Satkhira,20
08-06-1970,Srimangal,25
08-07-1970,Srimangal,25.6
08-08-1970,Srimangal,25
08-09-1970,Srimangal,25
08-10-1970,Srimangal,26.6
08-11-1970,Srimangal,20
08-06-1970,Sylhet,25
08-07-1970,Sylhet,25.6
08-08-1970,Sylhet,24.4
08-09-1970,Sylhet,27.2
08-10-1970,Sylhet,20.6
08-11-1970,Sylhet,19.4
09-06-1970,Barisal,26.1
09-07-1970,Barisal,27
09-08-1970,Barisal,25.3
09-09-1970,Barisal,25.2
09-10-1970,Barisal,20.9
09-11-1970,Barisal,22.7
09-06-1970,Bhola,23.4
09-07-1970,Bhola,****
09-08-1970,Bhola,25.5
09-09-1970,Bhola,25.8
09-10-1970,Bhola,25.2
09-11-1970,Bhola,22.5
09-06-1970,Bogra,24.9
09-07-1970,Bogra,27.2
09-08-1970,Bogra,25.5
09-09-1970,Bogra,25
09-10-1970,Bogra,25
09-11-1970,Bogra,21.1
09-06-1970,Dinajpur,24.4
09-07-1970,Dinajpur,26.7
09-08-1970,Dinajpur,25.8
09-09-1970,Dinajpur,26.3
09-10-1970,Dinajpur,24.5
09-11-1970,Dinajpur,19.5
09-06-1970,Ishurdi,26
09-07-1970,Ishurdi,26.7
09-08-1970,Ishurdi,25.1
09-09-1970,Ishurdi,24.6
09-10-1970,Ishurdi,23.9
09-11-1970,Ishurdi,****
09-06-1970,Jessore,24.4
09-07-1970,Jessore,26.1
09-08-1970,Jessore,25.2
09-09-1970,Jessore,25.1
09-10-1970,Jessore,23.8
09-11-1970,Jessore,21.4
09-06-1970,Khulna,25.7
09-07-1970,Khulna,27.2
09-08-1970,Khulna,26.7
09-09-1970,Khulna,28.3
09-10-1970,Khulna,25
09-11-1970,Khulna,22.8
09-06-1970,Rajshahi,****
09-07-1970,Rajshahi,****
09-08-1970,Rajshahi,****
09-09-1970,Rajshahi,****
09-10-1970,Rajshahi,****
09-11-1970,Rajshahi,****
09-06-1970,Rangpur,23.9
09-07-1970,Rangpur,24.5
09-08-1970,Rangpur,24.4
09-09-1970,Rangpur,26.3
09-10-1970,Rangpur,23.3
09-11-1970,Rangpur,19.7
09-06-1970,Satkhira,21.7
09-07-1970,Satkhira,25.6
09-08-1970,Satkhira,24.4
09-09-1970,Satkhira,25.6
09-10-1970,Satkhira,24.5
09-11-1970,Satkhira,20
09-06-1970,Srimangal,25
09-07-1970,Srimangal,26.7
09-08-1970,Srimangal,24.4
09-09-1970,Srimangal,25
09-10-1970,Srimangal,22.2
09-11-1970,Srimangal,18.1
09-06-1970,Sylhet,25.6
09-07-1970,Sylhet,25.6
09-08-1970,Sylhet,24.4
09-09-1970,Sylhet,26.1
09-10-1970,Sylhet,20.6
09-11-1970,Sylhet,20
10-06-1970,Barisal,25.8
10-07-1970,Barisal,25.3
10-08-1970,Barisal,25.6
10-09-1970,Barisal,25
10-10-1970,Barisal,24.8
10-11-1970,Barisal,22.6
10-06-1970,Bhola,23.6
10-07-1970,Bhola,****
10-08-1970,Bhola,25.5
10-09-1970,Bhola,25
10-10-1970,Bhola,24.4
10-11-1970,Bhola,22.2
10-06-1970,Bogra,26.6
10-07-1970,Bogra,25.2
10-08-1970,Bogra,25.7
10-09-1970,Bogra,24.3
10-10-1970,Bogra,23.8
10-11-1970,Bogra,****
10-06-1970,Dinajpur,27.3
10-07-1970,Dinajpur,26.7
10-08-1970,Dinajpur,25
10-09-1970,Dinajpur,25.5
10-10-1970,Dinajpur,22.8
10-11-1970,Dinajpur,19.5
10-06-1970,Ishurdi,26.7
10-07-1970,Ishurdi,26.1
10-08-1970,Ishurdi,25.7
10-09-1970,Ishurdi,24.6
10-10-1970,Ishurdi,23.9
10-11-1970,Ishurdi,****
10-06-1970,Jessore,24.4
10-07-1970,Jessore,25.2
10-08-1970,Jessore,25
10-09-1970,Jessore,24.7
10-10-1970,Jessore,24.4
10-11-1970,Jessore,21.7
10-06-1970,Khulna,26.3
10-07-1970,Khulna,23.6
10-08-1970,Khulna,26.1
10-09-1970,Khulna,****
10-10-1970,Khulna,24.2
10-11-1970,Khulna,22.7
10-06-1970,Rajshahi,****
10-07-1970,Rajshahi,****
10-08-1970,Rajshahi,****
10-09-1970,Rajshahi,****
10-10-1970,Rajshahi,****
10-11-1970,Rajshahi,****
10-06-1970,Rangpur,23.9
10-07-1970,Rangpur,24.8
10-08-1970,Rangpur,25.3
10-09-1970,Rangpur,26.2
10-10-1970,Rangpur,22.8
10-11-1970,Rangpur,19.7
10-06-1970,Satkhira,22.2
10-07-1970,Satkhira,21.1
10-08-1970,Satkhira,25.6
10-09-1970,Satkhira,25
10-10-1970,Satkhira,24.4
10-11-1970,Satkhira,20
10-06-1970,Srimangal,26.1
10-07-1970,Srimangal,****
10-08-1970,Srimangal,24.4
10-09-1970,Srimangal,25
10-10-1970,Srimangal,23.3
10-11-1970,Srimangal,17.8
10-06-1970,Sylhet,27.2
10-07-1970,Sylhet,****
10-08-1970,Sylhet,24.4
10-09-1970,Sylhet,23.9
10-10-1970,Sylhet,****
10-11-1970,Sylhet,20
11-06-1970,Barisal,24.6
11-07-1970,Barisal,25.9
11-08-1970,Barisal,26.6
11-09-1970,Barisal,26
11-10-1970,Barisal,24.6
11-11-1970,Barisal,22.4
11-06-1970,Bhola,24.6
11-07-1970,Bhola,****
11-08-1970,Bhola,25.3
11-09-1970,Bhola,24.6
11-10-1970,Bhola,26.6
11-11-1970,Bhola,23.5
11-06-1970,Bogra,25.3
11-07-1970,Bogra,26.1
11-08-1970,Bogra,27.1
11-09-1970,Bogra,26.1
11-10-1970,Bogra,24.5
11-11-1970,Bogra,20.4
11-06-1970,Dinajpur,26.2
11-07-1970,Dinajpur,26.7
11-08-1970,Dinajpur,26.7
11-09-1970,Dinajpur,25.1
11-10-1970,Dinajpur,23.9
11-11-1970,Dinajpur,18.9
11-06-1970,Ishurdi,22
11-07-1970,Ishurdi,26.1
11-08-1970,Ishurdi,26.8
11-09-1970,Ishurdi,24.8
11-10-1970,Ishurdi,24.4
11-11-1970,Ishurdi,****
11-06-1970,Jessore,26.6
11-07-1970,Jessore,26.7
11-08-1970,Jessore,26.8
11-09-1970,Jessore,24.5
11-10-1970,Jessore,25.3
11-11-1970,Jessore,21.1
11-06-1970,Khulna,26.1
11-07-1970,Khulna,24.6
11-08-1970,Khulna,26.8
11-09-1970,Khulna,26.7
11-10-1970,Khulna,25.6
11-11-1970,Khulna,22.8
11-06-1970,Rajshahi,****
11-07-1970,Rajshahi,****
11-08-1970,Rajshahi,****
11-09-1970,Rajshahi,****
11-10-1970,Rajshahi,****
11-11-1970,Rajshahi,****
11-06-1970,Rangpur,24.1
11-07-1970,Rangpur,24.7
11-08-1970,Rangpur,25.4
11-09-1970,Rangpur,25.8
11-10-1970,Rangpur,22.2
11-11-1970,Rangpur,19.6
11-06-1970,Satkhira,25
11-07-1970,Satkhira,21.7
11-08-1970,Satkhira,26.1
11-09-1970,Satkhira,25.6
11-10-1970,Satkhira,25
11-11-1970,Satkhira,21.7
11-06-1970,Srimangal,25.6
11-07-1970,Srimangal,25.3
11-08-1970,Srimangal,24.4
11-09-1970,Srimangal,24.7
11-10-1970,Srimangal,23.3
11-11-1970,Srimangal,17.2
11-06-1970,Sylhet,25
11-07-1970,Sylhet,25
11-08-1970,Sylhet,24.4
11-09-1970,Sylhet,25
11-10-1970,Sylhet,22.8
11-11-1970,Sylhet,20
12-06-1970,Barisal,24.6
12-07-1970,Barisal,25.5
12-08-1970,Barisal,25.3
12-09-1970,Barisal,25.6
12-10-1970,Barisal,25.1
12-11-1970,Barisal,21.4
12-06-1970,Bhola,25.6
12-07-1970,Bhola,****
12-08-1970,Bhola,26.9
12-09-1970,Bhola,23.6
12-10-1970,Bhola,24.7
12-11-1970,Bhola,23.4
12-06-1970,Bogra,26
12-07-1970,Bogra,26.7
12-08-1970,Bogra,25.7
12-09-1970,Bogra,26.1
12-10-1970,Bogra,25
12-11-1970,Bogra,21.1
12-06-1970,Dinajpur,26.2
12-07-1970,Dinajpur,26.2
12-08-1970,Dinajpur,26.7
12-09-1970,Dinajpur,26.2
12-10-1970,Dinajpur,23.4
12-11-1970,Dinajpur,18.9
12-06-1970,Ishurdi,26.2
12-07-1970,Ishurdi,25.3
12-08-1970,Ishurdi,25.1
12-09-1970,Ishurdi,26.6
12-10-1970,Ishurdi,25
12-11-1970,Ishurdi,****
12-06-1970,Jessore,26.4
12-07-1970,Jessore,26.4
12-08-1970,Jessore,26.2
12-09-1970,Jessore,26.1
12-10-1970,Jessore,25.3
