Date,Stations,Max_Temp
13-04-1970,Satkhira,37.2
13-05-1970,Satkhira,****
13-06-1970,Satkhira,30
13-03-1970,Srimangal,33.6
13-04-1970,Srimangal,32.2
13-05-1970,Srimangal,35.5
13-06-1970,Srimangal,33.9
13-03-1970,Sylhet,31.1
13-04-1970,Sylhet,32.2
13-05-1970,Sylhet,30.6
13-06-1970,Sylhet,33.9
14-03-1970,Barisal,****
14-04-1970,Barisal,33.9
14-05-1970,Barisal,33.9
14-06-1970,Barisal,31.4
14-03-1970,Bhola,30.8
14-04-1970,Bhola,34.4
14-05-1970,Bhola,35.2
14-06-1970,Bhola,33
14-03-1970,Bogra,34.2
14-04-1970,Bogra,32.8
14-05-1970,Bogra,****
14-06-1970,Bogra,****
14-03-1970,Dinajpur,33
14-04-1970,Dinajpur,32.8
14-05-1970,Dinajpur,35
14-06-1970,Dinajpur,35
14-03-1970,Ishurdi,34
14-04-1970,Ishurdi,34.1
14-05-1970,Ishurdi,39.6
14-06-1970,Ishurdi,33.7
14-03-1970,Jessore,34.6
14-04-1970,Jessore,36.6
14-05-1970,Jessore,35.6
14-06-1970,Jessore,37.2
14-03-1970,Khulna,34.9
14-04-1970,Khulna,36.1
14-05-1970,Khulna,36.7
14-06-1970,Khulna,****
14-03-1970,Rajshahi,****
14-04-1970,Rajshahi,****
14-05-1970,Rajshahi,****
14-06-1970,Rajshahi,****
14-03-1970,Rangpur,34.7
14-04-1970,Rangpur,36.9
14-05-1970,Rangpur,38.3
14-06-1970,Rangpur,36.7
14-03-1970,Satkhira,34.3
14-04-1970,Satkhira,36.7
14-05-1970,Satkhira,37.9
14-06-1970,Satkhira,31.1
14-03-1970,Srimangal,33.3
14-04-1970,Srimangal,33.8
14-05-1970,Srimangal,33.8
14-06-1970,Srimangal,35
14-03-1970,Sylhet,****
14-04-1970,Sylhet,30
14-05-1970,Sylhet,30
14-06-1970,Sylhet,35
15-03-1970,Barisal,34.4
15-04-1970,Barisal,34.4
15-05-1970,Barisal,34.4
15-06-1970,Barisal,30.6
15-03-1970,Bhola,35
15-04-1970,Bhola,22.9
15-05-1970,Bhola,34.2
15-06-1970,Bhola,34
